"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",11,2016-01-24,51.2,-6.2,250000897,3.29986111111111,"trawlers","IRL",1,2016
"2",12,2016-01-24,51.2,-6.4,250000897,0.881805555555556,"trawlers","IRL",1,2016
"3",13,2016-01-24,51.2,2.4,227322630,0.338888888888889,"fixed_gear","FRA",1,2016
"4",14,2016-01-24,51.2,2.3,227322630,0.982222222222222,"fixed_gear","FRA",1,2016
"5",15,2016-01-24,51.2,-7.9,228174600,9.76680555555556,"trawlers","FRA",1,2016
"6",16,2016-01-24,51.2,-8,228174600,3.50666666666667,"trawlers","FRA",1,2016
"7",18,2016-01-24,51.2,-5.9,227314000,0.6425,"trawlers","FRA",1,2016
"8",19,2016-01-24,51.2,-6.2,250002776,8.85333333333333,"trawlers","IRL",1,2016
"9",20,2016-01-24,51.2,2.9,205308000,0.870138888888889,"trawlers","BEL",1,2016
"10",21,2016-01-24,51.2,3,205308000,0.275555555555556,"trawlers","BEL",1,2016
"11",24,2016-01-24,51.2,2.3,227311230,7.19138888888889,"fixed_gear","FRA",1,2016
"12",25,2016-01-24,51.2,-4.6,235113634,1.10180555555556,"fixed_gear","GBR",1,2016
"13",26,2016-01-24,51.2,-4.4,235113634,0.274861111111111,"fixed_gear","GBR",1,2016
"14",27,2016-01-24,51.2,-4.5,235113634,1.39027777777778,"fixed_gear","GBR",1,2016
"15",28,2016-01-24,51.2,-4.7,235113634,2.07291666666667,"fixed_gear","GBR",1,2016
"16",29,2016-01-24,51.2,2.8,205273000,3.80472222222222,"trawlers","BEL",1,2016
"17",30,2016-01-24,51.2,2.9,205273000,0.259444444444444,"trawlers","BEL",1,2016
"18",31,2016-01-24,51.2,2.7,205273000,1.05069444444444,"trawlers","BEL",1,2016
"19",32,2016-01-24,51.2,-5.9,205241000,4.31805555555556,"trawlers","BEL",1,2016
"20",33,2016-01-24,51.2,-6.2,250000594,10.3702777777778,"trawlers","IRL",1,2016
"21",34,2016-01-24,51.2,2.7,205271000,1.21694444444444,"trawlers","BEL",1,2016
"22",35,2016-01-24,51.2,2.6,205271000,1.04388888888889,"trawlers","BEL",1,2016
"23",36,2016-01-24,51.2,2.5,205271000,0.333472222222222,"trawlers","BEL",1,2016
"24",37,2016-01-24,51.2,-5.3,205153000,1.43111111111111,"trawlers","BEL",1,2016
"25",38,2016-01-24,51.2,-6.3,250000626,2.3475,"trawlers","IRL",1,2016
"26",39,2016-01-24,51.2,-6.4,250000626,18.8323611111111,"trawlers","IRL",1,2016
